behavior,behavior_id,animal_id,group_id,phase
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
 none,1,B6.20,aged,sample
