behavior,behavior_id,animal_id,group_id,phase
 None,1,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
 frozen,2,F8.10,aged,sample
