behavior,behavior_id,animal_id,group_id,phase
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 standing,1,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 None,2,F1.01,aged,sample
 lower_ob,3,F1.01,aged,sample
 lower_ob,3,F1.01,aged,sample
 None,4,F1.01,aged,sample
 lower_ob,5,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 None,6,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 standing,7,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
 None,8,F1.01,aged,sample
