behavior,behavior_id,animal_id,group_id,phase
 lower_ob,1,F8.08,aged,sample
 lower_ob,1,F8.08,aged,sample
 lower_ob,1,F8.08,aged,sample
 lower_ob,1,F8.08,aged,sample
 lower_ob,1,F8.08,aged,sample
 lower_ob,1,F8.08,aged,sample
 lower_ob,1,F8.08,aged,sample
 None,2,F8.08,aged,sample
 None,2,F8.08,aged,sample
 lower_ob,3,F8.08,aged,sample
 lower_ob,3,F8.08,aged,sample
 lower_ob,3,F8.08,aged,sample
 lower_ob,3,F8.08,aged,sample
 None,4,F8.08,aged,sample
 None,4,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 lower_ob,5,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 None,6,F8.08,aged,sample
 lower_ob,7,F8.08,aged,sample
 lower_ob,7,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 None,8,F8.08,aged,sample
 lower_ob,9,F8.08,aged,sample
 lower_ob,9,F8.08,aged,sample
 lower_ob,9,F8.08,aged,sample
 lower_ob,9,F8.08,aged,sample
 lower_ob,9,F8.08,aged,sample
 lower_ob,9,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 None,10,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
 resting,11,F8.08,aged,sample
